Movie Title, Lead 1 Gender, Lead 2 Gender, Writer Gender, Director Gender, Lead 1 Age, Lead 2 Age, Passes Bechdel Test, MPAA Rating
Here on Earth (2000),Male, Female, Male, Male, 22, 23, No, PG-13
Whatever It Takes (2000),Male, Female, Male, Male, 24, 22, No, PG-13
A Place in the Sun (1951),Male, Female, Male, Male, 30, 18, No, Passed
Ladyhawke (1985),Male, Female, Male, Male, 38, 26, No, PG-13
Murphy's Romance (1985),Male, Female, Male, Male, 57, 39, Yes, PG-13
Return to Me (2000),Male, Female, Female, Female, 40, 30, Yes, PG
Book and Candle Bell (1958),Male, Female, Male, Male, 35, 28, No, Not Rated
Arthur (1981), Male, Female, Male, Male, 46, 35, No, PG
The Prince of Tides (1991),Male, Female, Male, Male, 45, 43, No, R
Keeping the Faith (2000),Male, Female, Male, Male, 34, 28, No, PG-13
Passion of Mind (1999),Female, Male, Female, Male, 42, 40, No, PG-13
Love and Basketball (2000),Male, Female, Female, Female, 28, 24, Yes, PG-13
Breathless (1983),Male, Female, Male, Male, 40, 23, No, R
The Slipper and the Rose (1976),Male, Female, Male, Male, 29, 25, No, G
Honeymoon in Vegas (1992),Male, Female, Male, Male, 48, 29, No, PG-13
Loser (2000),Male, Female, Male, Male, 32, 24, No, PG-13
Moonraker (1979),Male, Female, Male, Male, 51, 33, No, PG
Romeo and Juliet (1968),Male, Female, Male, Male, 17, 16, No, PG
The Fabulous Baker Boys (1989),Male, Female, Male, Male, 38, 32, No, R
Prizzi's Honor (1985),Male, Female, Male, Male, 48, 29, No, R
Starman (1984),Male, Female, Male, Male, 38, 34, No, PG
Bird on a Wire (1990),Male, Female, Male, Male, 39, 34, No, PG-13
Love's Labour's Lost (2000),Male, Female, Male, Male, 39, 30, No, PG
Trouble in Paradise (1932),Male, Female, Male, Male, 37, 33, No, Not Rated
Boys and Girls (2000),Male, Female, Male, Male, 28, 24, No, PG-13
The Hot Spot (1990),Male, Female, Male, Male, 40, 29, No, R
The Wisdom of Crocodiles (a.k.a. Immortality) (2000),Male, Female, Male, Male, 28, 35, No, R
Criminal Lovers (Les Amants Criminels) (1999),Male, Female, Male, Male, 26, 24, No, Not Rated
The Girl on the Bridge (La Fille sur le Pont) (1999),Male, Female, Male, Male, 45, 27, No, R
Autumn in New York (2000),Male, Female, Male, Male, 48, 23, No, PG-13
Mad About Mambo (2000),Male, Female, Male, Male, 30, 24, No, PG-13
Bronco Billy (1980),Male, Female, Male, Male, 50, 39, No, PG
An Affair of Love (Une Liaison Pornographique) (1999),Male, Female, Male, Male, 47, 34, No, R
A Couch in New York (1996),Male, Female, Male, Male, 43, 29, No, R
Love & Sex (2000),Female, Male, Female, Male, 35, 32, Yes, R
Skipped Parts (2000),Male, Female, Male, Male, 31, 30, No, R
Woman on Top (2000),Female, Male, Female, Female, 33, 34, Yes, R

